iter	Passed	Remaining
940	65433	73638
941	65496	73561
942	65571	73498
943	65636	73424
944	65702	73350
945	65766	73274
946	65835	73204
947	65902	73132
948	65969	73059
949	66037	72988
950	66114	72927
951	66181	72854
952	66244	72778
953	66309	72704
954	66393	72650
955	66458	72576
956	66526	72504
957	66596	72436
958	66666	72367
959	66731	72292
960	66801	72223
961	66872	72156
962	66939	72083
963	67006	72010
964	67075	71941
965	67143	71870
966	67211	71798
967	67279	71727
968	67348	71657
969	67412	71582
970	67486	71517
971	67552	71443
972	67619	71371
973	67691	71305
974	67754	71229
975	67819	71154
976	67887	71083
977	67953	71010
978	68016	70934
979	68080	70859
980	68153	70793
981	68223	70724
982	68292	70654
983	68362	70585
984	68430	70514
985	68495	70440
986	68563	70369
987	68628	70295
988	68694	70222
989	68763	70152
990	68830	70080
991	68896	70007
992	68961	69933
993	69025	69859
994	69093	69787
995	69160	69715
996	69226	69643
997	69295	69573
998	69371	69510
999	69438	69438
1000	69503	69364
1001	69567	69290
1002	69636	69220
1003	69705	69150
1004	69768	69074
1005	69839	69006
1006	69905	68933
1007	69971	68860
1008	70038	68789
1009	70107	68718
1010	70176	68648
1011	70241	68576
1012	70312	68508
1013	70376	68433
1014	70448	68366
1015	70518	68297
1016	70583	68224
1017	70653	68155
1018	70719	68082
1019	70785	68009
1020	70849	67935
1021	70913	67860
1022	70977	67785
1023	71040	67710
1024	71105	67637
1025	71179	67571
1026	71245	67499
1027	71309	67424
1028	71376	67353
1029	71440	67278
1030	71508	67208
1031	71577	67138
1032	71644	67067
1033	71712	66996
1034	71778	66924
1035	71848	66855
1036	71916	66784
1037	71982	66712
1038	72048	66639
1039	72111	66564
1040	72179	66493
1041	72252	66428
1042	72321	66357
1043	72384	66282
1044	72445	66206
1045	72513	66135
1046	72581	66064
1047	72654	65999
1048	72723	65929
1049	72792	65860
1050	72858	65787
1051	72930	65720
1052	72997	65649
1053	73065	65578
1054	73131	65506
1055	73203	65439
1056	73269	65367
1057	73337	65296
1058	73402	65223
1059	73466	65149
1060	73534	65079
1061	73601	65007
1062	73664	64933
1063	73729	64859
1064	73796	64788
1065	73866	64719
1066	73938	64652
1067	74004	64580
1068	74071	64509
1069	74143	64442
1070	74209	64370
1071	74279	64301
1072	74343	64227
1073	74411	64157
1074	74475	64083
1075	74542	64012
1076	74608	63940
1077	74675	63868
1078	74736	63792
1079	74807	63725
1080	74874	63654
1081	74949	63589
1082	75013	63515
1083	75080	63444
1084	75145	63371
1085	75211	63299
1086	75274	63225
1087	75343	63155
1088	75417	63090
1089	75482	63017
1090	75549	62946
1091	75620	62878
1092	75683	62803
1093	75749	62732
1094	75819	62663
